date,y,clim,p_vix,p_vix_driftless,p_vix_bgk,p_m1,p_m2,p_m3,p_m3_pk,p_m3_har96,p_v0ref,har_fc_20,refit_year,block24,block18
2003-02-18,1,0.2119895743,0.5726821613,0.5583756265,0.4891917135,0.3697148287,0.3521753947,0.3738147115,0.3775897424,0.339819148,,0.1974131805,2003,1,1
2003-02-19,1,0.2119895743,0.5752611114,0.5608917063,0.4915928757,0.3722356006,0.354016213,0.3776901959,0.3782255222,0.3435615046,,0.1944332312,2003,1,1
2003-02-20,0,0.2119895743,0.5733294698,0.5590071519,0.4897942552,0.370346505,0.349498409,0.3788197843,0.3826663647,0.3519251358,,0.1884929012,2003,1,1
2003-02-21,1,0.2119895743,0.5612722804,0.5472442623,0.4785865369,0.3586925917,0.3540283131,0.3731889199,0.3759917633,0.3355716339,,0.2081230138,2003,1,1
2003-02-24,0,0.2119895743,0.5837042542,0.5691292429,0.4994646159,0.3805655248,0.3563443239,0.3876656113,0.3920016359,0.3568282738,,0.1869979612,2003,1,1
2003-02-25,0,0.2119895743,0.5807141059,0.5662118705,0.4966749586,0.3776018548,0.3710654471,0.3916368983,0.3934183239,0.3417975633,,0.2119904023,2003,1,1
2003-02-26,0,0.2119895743,0.5832085243,0.5686455752,0.4990019825,0.3800731456,0.3651103198,0.3953269545,0.3961282961,0.3564320381,,0.2030839282,2003,1,1
2003-02-27,0,0.2119895743,0.5650452699,0.5509250884,0.4820901669,0.3623140646,0.3535302873,0.3765239952,0.3769373047,0.3418663625,,0.2061604196,2003,1,1
2003-02-28,1,0.2119895743,0.5527107913,0.5388921314,0.4706481506,0.350559143,0.3327552072,0.3567034863,0.3574578603,0.3393357299,,0.1889253204,2003,1,1
2003-03-03,0,0.2119895743,0.5637043148,0.5496168819,0.4808445764,0.3610243371,0.353474341,0.3766437296,0.3787589503,0.3420749508,,0.2045490897,2003,1,1
2003-03-04,0,0.2119895743,0.5818398371,0.5673101978,0.4977249674,0.3787158557,0.3508625527,0.3868337714,0.3923408274,0.3635070088,,0.180499552,2003,1,1
2003-03-05,0,0.2119895743,0.56303111,0.548960121,0.4802194011,0.3603779422,0.3363784604,0.3683033043,0.3714163025,0.3536386109,,0.1786809305,2003,1,1
2003-03-06,0,0.2119895743,0.5760294955,0.5616413646,0.4923085825,0.3729887733,0.3519446027,0.384864948,0.3820171385,0.3583556577,,0.1836435085,2003,1,1
2003-03-07,0,0.2119895743,0.572292926,0.5579958828,0.4888294431,0.3693353249,0.367697051,0.3899032301,0.3903236063,0.343400044,,0.2149347572,2003,1,1
2003-03-10,0,0.2119895743,0.5996136403,0.5846521917,0.5143421254,0.3965898987,0.3811858161,0.4168399418,0.4171196655,0.3687468763,,0.2039804438,2003,1,1
2003-03-11,0,0.2119895743,0.6030541236,0.5880092865,0.5175672541,0.4001128828,0.3795943655,0.4211174059,0.4226878846,0.3782075155,,0.1999306452,2003,1,1
2003-03-12,0,0.2119895743,0.6019131023,0.5868959132,0.5164973444,0.398942197,0.3846549986,0.4200993664,0.4203760374,0.369105667,,0.2086802446,2003,1,1
2003-03-13,0,0.2119895743,0.5809647297,0.5664563928,0.496908699,0.3778496834,0.3778413171,0.3929118112,0.3928198745,0.3342991395,,0.2273140027,2003,1,1
2003-03-14,0,0.2119895743,0.5709910065,0.5567257159,0.4876179665,0.368067761,0.3574742085,0.3757518217,0.3747906838,0.3352374274,,0.2071584164,2003,1,1
2003-03-17,0,0.2119895743,0.5808394508,0.5663341638,0.4967918578,0.3777257886,0.3772487121,0.3740121535,0.381942287,0.3056997777,,0.226905808,2003,1,1
2003-03-18,0,0.2119895743,0.5637043148,0.5496168819,0.4808445764,0.3610243371,0.348735771,0.3491653509,0.3497282371,0.3048211765,,0.2074455291,2003,1,1
2003-03-19,0,0.2119895743,0.5781932786,0.5637524306,0.4943247507,0.3751149787,0.3616314285,0.3562102943,0.3590970387,0.2990136029,,0.2074076364,2003,1,1
2003-03-20,0,0.2119895743,0.5638387484,0.549748032,0.4809694312,0.3611535043,0.3599024886,0.3505208552,0.3527450571,0.2918871965,,0.2196160532,2003,1,1
2003-03-21,1,0.2119895743,0.5388654957,0.5253860282,0.4578451936,0.337648672,0.3418835852,0.3231280087,0.3233212097,0.2723761363,,0.2252687072,2003,1,1
2003-03-24,0,0.2119895743,0.5631658938,0.5490916124,0.4803445606,0.3605073,0.3648304433,0.3593828539,0.3526127066,0.2989391245,,0.2334760474,2003,1,1
2003-03-25,0,0.2119895743,0.5400476109,0.5265391541,0.4589366483,0.33873945,0.3387582,0.3330983847,0.3324032041,0.2920671518,,0.2230538493,2003,1,1
2003-03-26,0,0.2119895743,0.5322685785,0.5189509838,0.4517599028,0.3316003711,0.322477613,0.3237131761,0.3223668817,0.2992981821,,0.2089893777,2003,1,1
2003-03-27,0,0.2119895743,0.5281390715,0.5149228852,0.447955559,0.3278475647,0.3296127806,0.3266639567,0.3236495697,0.2938757003,,0.2196546328,2003,1,1
2003-03-28,0,0.2119895743,0.5248835006,0.5117473038,0.4449589888,0.3249068501,0.320943297,0.3229823596,0.3167647106,0.2999489086,,0.2088338747,2003,1,1
2003-03-31,0,0.2119895743,0.5458799982,0.5322285904,0.4643262743,0.3441525201,0.3515249065,0.3578152809,0.3525716029,0.3137991153,,0.2314596062,2003,1,1
2003-04-01,0,0.2119895743,0.5342346253,0.5208687718,0.4535724644,0.333396045,0.3306970266,0.3345354947,0.3315938727,0.3052572697,,0.2159844362,2003,1,1
2003-04-02,0,0.2119895743,0.5290621858,0.5158233253,0.4488056592,0.3286842632,0.3376684811,0.3256877427,0.3141917724,0.2814431057,,0.2355333572,2003,1,1
2003-04-03,0,0.2119895743,0.5319648215,0.5186546841,0.4514799357,0.3313234547,0.3287811985,0.3232729834,0.318468894,0.2897927521,,0.2199148991,2003,1,1
2003-04-04,0,0.2119895743,0.5455914249,0.5319470869,0.4640594299,0.3438834625,0.3397863085,0.330029573,0.3206982021,0.2861166043,,0.2211473955,2003,1,1
2003-04-07,0,0.2119895743,0.5355873555,0.5221883059,0.4548200864,0.3346349308,0.3519769568,0.3362684758,0.3298416672,0.2792081696,,0.2559077187,2003,1,1
2003-04-08,0,0.2119895743,0.5150422953,0.5021481163,0.4359148978,0.3161120466,0.3124277312,0.3073624652,0.3016218605,0.2861630526,,0.2187680739,2003,1,1
2003-04-09,0,0.2119895743,0.5147190437,0.5018328197,0.4356181899,0.3158255545,0.3240042353,0.3210656453,0.3203748826,0.292095238,,0.2338247867,2003,1,1
