date,state_fang,state_macd,state_fg,state_vix,state_ma,state_eod,state_lead,state_btc,score_d,score_w,score_m,trend_d,trend_w,trend_m,overall_d,overall_w,overall_m,tone,verdict_ko,n_watch_avail,fg_avail,eod_avail,n_leaders,spy_close,vix_close
2021-10-28,GREEN,G2R,GREEN,GREEN,GREEN,AMBER,GREEN,AMBER,0.566667,0.833333,0.500000,-1,0,-1,G2R,GREEN,G2R,neutral,방향이 뚜렷하지 않음,25,True,False,14,429.732269,16.530001
2021-10-29,GREEN,G2R,GREEN,GREEN,GREEN,AMBER,GREEN,GREEN,0.700000,0.833333,0.500000,1,0,-1,GREEN,GREEN,G2R,buy,반등이 확인됨,25,True,False,12,430.604340,16.260000
2021-11-01,GREEN,G2R,GREEN,GREEN,GREEN,AMBER,GREEN,G2R,0.500000,0.833333,0.500000,0,0,1,GREEN,GREEN,GREEN,hold,꾸준한 상승 흐름,25,True,False,14,431.344971,16.410000
2021-11-02,GREEN,G2R,GREEN,GREEN,GREEN,AMBER,GREEN,GREEN,0.700000,0.833333,0.500000,1,0,1,GREEN,GREEN,GREEN,hold,꾸준한 상승 흐름,25,True,False,13,433.088928,16.030001
2021-11-03,GREEN,GREEN,GREEN,GREEN,GREEN,AMBER,GREEN,GREEN,1.000000,0.833333,0.500000,1,0,1,GREEN,GREEN,GREEN,hold,꾸준한 상승 흐름,25,True,False,13,435.733093,15.100000
2021-11-04,GREEN,GREEN,GREEN,GREEN,GREEN,AMBER,GREEN,GREEN,1.000000,1.000000,0.500000,1,1,1,GREEN,GREEN,GREEN,hold,꾸준한 상승 흐름,25,True,False,14,437.786530,15.440000
2021-11-05,GREEN,GREEN,GREEN,GREEN,GREEN,AMBER,GREEN,AMBER,0.866667,1.000000,0.500000,1,1,1,GREEN,GREEN,GREEN,hold,꾸준한 상승 흐름,25,True,False,14,439.305450,16.480000
2021-11-08,AMBER,GREEN,GREEN,AMBER,GREEN,AMBER,GREEN,GREEN,0.733333,0.822222,0.322222,-1,0,0,G2R,GREEN,AMBER,neutral,방향이 뚜렷하지 않음,25,True,False,14,439.680420,17.219999
2021-11-09,G2R,GREEN,GREEN,AMBER,GREEN,AMBER,GREEN,GREEN,0.653333,0.822222,0.322222,-1,0,0,G2R,GREEN,AMBER,neutral,방향이 뚜렷하지 않음,25,True,False,12,438.227173,17.780001
2021-11-10,G2R,G2R,GREEN,AMBER,GREEN,AMBER,GREEN,GREEN,0.353333,0.822222,0.322222,-1,0,0,G2R,GREEN,AMBER,neutral,방향이 뚜렷하지 않음,25,True,False,11,434.701691,18.730000
2021-11-11,G2R,G2R,GREEN,AMBER,GREEN,AMBER,GREEN,GREEN,0.353333,0.822222,0.322222,-1,-1,0,G2R,G2R,AMBER,neutral,방향이 뚜렷하지 않음,25,True,False,13,434.842346,17.660000
2021-11-12,G2R,G2R,GREEN,GREEN,GREEN,AMBER,GREEN,GREEN,0.460000,1.000000,0.500000,-1,0,0,G2R,GREEN,GREEN,caution,단기 과열 뒤 주춤,25,True,False,10,438.123993,16.290001
